,"Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)"
,"2025","2025","2025","2020","2020","2020","2019","2019","2019","2018","2018","2018","2015","2015","2015","2010","2010","2010","2005","2005","2005","2000","2000","2000"
"Countries, territories and areas","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female"
"Democratic Republic of the Congo","11.7","21.1","2.3","12.8","22.7","2.9","13","22.9","3.1","13","23.2","3.2","14","24.2","3.8","15.4","26","4.8","16.9","27.5","6.2","18.8","29.6","8"
"Denmark","14.4","14.4","14.4","17.5","17.8","17.1","18.1","18.4","17.8","18.1","19.4","18.4","21.1","21.9","20.3","25.5","26.8","24.2","30.8","32.9","28.6","37.3","40.4","34.1"
"Dominican Republic","9.4","13.5","5.2","10.6","14.6","6.5","10.9","15","6.8","10.9","15.3","7.1","12.2","16.1","8.2","13.9","17.6","10.2","16.1","19.2","13","18.7","21.1","16.2"
"Ecuador","10.1","16.5","3.6","11.3","18.4","4.2","11.6","18.9","4.3","11.6","19.3","4.4","12.8","20.7","4.8","14.5","23.3","5.6","16.2","25.9","6.5","18.4","29.1","7.6"
"Egypt","24.3","48.3","0.3","24.3","48.1","0.4","24.4","48.3","0.4","24.4","48.2","0.5","24.3","48.1","0.5","24.3","47.9","0.7","24.1","47.4","0.8","24.3","47.5","1"
"El Salvador","6.7","12","1.4","7.9","14.1","1.7","8.3","14.7","1.8","8.3","15.2","1.9","9.5","16.9","2.1","11.3","19.9","2.6","13.4","23.5","3.2","15.9","27.9","3.9"
"Eritrea","6.5","12.7","0.2","7.5","14.7","0.2","7.7","15.1","0.2","7.7","15.5","0.2","8.7","17","0.3","10","19.6","0.3","11.5","22.6","0.4","13.3","26","0.5"
"Estonia","26.9","32","21.7","29.7","36.3","23","30.5","37.4","23.5","30.5","38.5","23.7","33.3","41.8","24.7","37.2","47.9","26.4","41.6","54.9","28.2","46","61.9","30.1"
"Eswatini","8.6","15.9","1.3","9.2","16.5","1.8","9.3","16.7","1.9","9.3","16.8","2","9.8","17.3","2.3","10.5","18","3","11.4","18.8","3.9","12.3","19.5","5.1"
"Ethiopia","4.7","8.2","1.2","5.1","8.8","1.3","5.2","9","1.4","5.2","9","1.4","5.5","9.4","1.5","5.9","10.1","1.6","6.3","10.8","1.8","6.8","11.6","2"
"Fiji","21.3","32.9","9.6","23.1","35.6","10.5","23.4","36.2","10.6","23.4","36.8","10.9","25.1","38.7","11.5","27.4","42.2","12.6","29.7","45.5","13.8","32.3","49.4","15.2"
"Finland","19.1","23.5","14.7","21.6","26.9","16.3","22.2","27.7","16.6","22.2","28.3","17","24.5","30.9","18","27.8","35.5","20.1","31.4","40.5","22.2","35.7","46.7","24.7"
"France","33.4","34.2","32.5","33.4","34.9","31.9","33.6","35.2","31.9","33.6","35.3","31.7","33.7","35.9","31.4","33.8","36.7","30.9","34.1","37.7","30.5","34.2","38.5","29.8"
"Gambia","9.5","18.4","0.6","11.1","21.4","0.8","11.6","22.2","0.9","11.6","22.9","1","13.3","25.4","1.2","15.8","29.8","1.7","18.8","35.1","2.5","22.5","41.4","3.6"
"Georgia","31.5","55.3","7.6","31.7","56.3","7.1","31.7","56.3","7","31.7","56.7","6.9","32","57.3","6.6","32.2","58.1","6.2","32.6","59.3","5.8","32.8","60.2","5.4"
